starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 21 21:57:08 2019	1574391428	0	5991	5991	5991
Thu Nov 21 21:57:24 2019	1574391444	0	6010	6010	6010
Thu Nov 21 21:57:25 2019	1574391445	0	6018	6019	6018
Thu Nov 21 21:57:05 2019	1574391425	3	6027	6030	6027
Thu Nov 21 21:57:22 2019	1574391442	0	6034	6034	6034
Thu Nov 21 21:57:08 2019	1574391428	0	6059	6059	6056
Thu Nov 21 21:57:18 2019	1574391438	0	6065	6065	6065
Thu Nov 21 21:57:18 2019	1574391438	0	6110	6110	6110
Thu Nov 21 21:57:05 2019	1574391425	3	6188	6191	6188
Thu Nov 21 21:57:20 2019	1574391440	0	6258	6258	6258
Thu Nov 21 21:57:12 2019	1574391432	0	6288	6288	6288
Thu Nov 21 21:57:20 2019	1574391440	0	6311	6311	6311
Thu Nov 21 21:57:22 2019	1574391442	0	6348	6348	6348
Thu Nov 21 21:57:08 2019	1574391428	0	6363	6363	6363
Thu Nov 21 21:57:17 2019	1574391437	0	6375	6375	6375
Thu Nov 21 21:57:11 2019	1574391431	0	6385	6385	6385
Thu Nov 21 21:57:05 2019	1574391425	4	6410	6413	6410
Thu Nov 21 21:57:05 2019	1574391425	4	6425	6429	6425
Thu Nov 21 21:57:08 2019	1574391428	0	6457	6458	6457
Thu Nov 21 21:57:05 2019	1574391425	3	6509	6512	6508
Thu Nov 21 21:57:20 2019	1574391440	0	6513	6513	6513
Thu Nov 21 21:57:17 2019	1574391437	0	6543	6543	6543
Thu Nov 21 21:57:22 2019	1574391442	0	6546	6546	6546
Thu Nov 21 21:57:10 2019	1574391430	0	6555	6555	6555
Thu Nov 21 21:57:05 2019	1574391425	3	6584	6587	6584
Thu Nov 21 21:57:05 2019	1574391425	2	6642	6644	6642
Thu Nov 21 21:57:14 2019	1574391434	0	6655	6655	6655
Thu Nov 21 21:57:05 2019	1574391425	3	6654	6656	6654
Thu Nov 21 21:57:05 2019	1574391425	3	6715	6718	6715
Thu Nov 21 21:57:05 2019	1574391425	2	6761	6763	6761
Thu Nov 21 21:57:09 2019	1574391429	0	6770	6770	6770
Thu Nov 21 21:57:07 2019	1574391427	0	6794	6794	6794
Thu Nov 21 21:57:08 2019	1574391428	1	6894	6895	6894
Thu Nov 21 21:57:07 2019	1574391427	0	6907	6907	6907
Thu Nov 21 21:57:11 2019	1574391431	0	6916	6916	6915
Thu Nov 21 21:57:21 2019	1574391441	0	7037	7037	7037
Thu Nov 21 21:57:07 2019	1574391427	0	7187	7187	7187
Thu Nov 21 21:57:18 2019	1574391438	0	7243	7243	7243
Thu Nov 21 21:57:07 2019	1574391427	0	7284	7284	7284
Thu Nov 21 21:57:17 2019	1574391437	0	7353	7353	7353
Thu Nov 21 21:57:08 2019	1574391428	0	7518	7518	7517
Thu Nov 21 21:57:06 2019	1574391426	0	7543	7543	7538
Thu Nov 21 21:57:05 2019	1574391425	2	7566	7568	7566
Thu Nov 21 21:57:08 2019	1574391428	0	7599	7599	7599
Thu Nov 21 21:57:05 2019	1574391425	4	7744	7748	7744
Thu Nov 21 21:57:05 2019	1574391425	3	7751	7753	7751
Thu Nov 21 21:57:21 2019	1574391441	0	7760	7760	7760
Thu Nov 21 21:57:05 2019	1574391425	3	7762	7765	7762
Thu Nov 21 21:57:08 2019	1574391428	1	7767	7768	7767
Thu Nov 21 21:57:05 2019	1574391425	2	7767	7769	7767
Thu Nov 21 21:57:05 2019	1574391425	3	7842	7845	7842
Thu Nov 21 21:57:05 2019	1574391425	3	7847	7850	7847
Thu Nov 21 21:57:05 2019	1574391425	3	8060	8063	8060
Thu Nov 21 21:57:05 2019	1574391425	2	8456	8458	8456
Thu Nov 21 21:57:05 2019	1574391425	2	8478	8480	8477
Thu Nov 21 21:57:05 2019	1574391425	2	8478	8480	8478
Thu Nov 21 21:57:05 2019	1574391425	3	8479	8482	8479
Thu Nov 21 21:57:05 2019	1574391425	3	8485	8488	8483
Thu Nov 21 21:57:05 2019	1574391425	3	8486	8489	8486
Thu Nov 21 21:57:05 2019	1574391425	3	8495	8498	8495
Thu Nov 21 21:57:05 2019	1574391425	3	8496	8499	8496
Thu Nov 21 21:57:05 2019	1574391425	2	8500	8502	8498
Thu Nov 21 21:57:05 2019	1574391425	2	8504	8506	8502
Thu Nov 21 21:57:05 2019	1574391425	2	8505	8507	8501
Thu Nov 21 21:57:05 2019	1574391425	2	8560	8562	8560
Thu Nov 21 21:57:05 2019	1574391425	2	8571	8573	8563
Thu Nov 21 21:57:05 2019	1574391425	3	8588	8591	8584
Thu Nov 21 21:57:05 2019	1574391425	3	8600	8602	8590
Thu Nov 21 21:57:07 2019	1574391427	0	8617	8617	8617
Thu Nov 21 21:57:05 2019	1574391425	2	8686	8688	8686
Thu Nov 21 21:57:05 2019	1574391425	2	8698	8701	8698
Thu Nov 21 21:57:05 2019	1574391425	3	8806	8809	8806
Thu Nov 21 21:57:05 2019	1574391425	3	9023	9026	9023
Thu Nov 21 21:57:10 2019	1574391430	0	9100	9100	9100
Thu Nov 21 21:57:07 2019	1574391427	0	9209	9209	9208
Thu Nov 21 21:57:05 2019	1574391425	2	9242	9244	9241
Thu Nov 21 21:57:05 2019	1574391425	3	9325	9327	9325
Thu Nov 21 21:57:05 2019	1574391425	3	9371	9374	9363
Thu Nov 21 21:57:05 2019	1574391425	3	9433	9435	9432
Thu Nov 21 21:57:05 2019	1574391425	3	9568	9570	9568
Thu Nov 21 21:57:05 2019	1574391425	2	9823	9825	9823
Thu Nov 21 21:57:08 2019	1574391428	0	10019	10019	10019
Thu Nov 21 21:57:15 2019	1574391435	0	10084	10084	10084
Thu Nov 21 21:57:14 2019	1574391434	0	10138	10138	10138
Thu Nov 21 21:57:05 2019	1574391425	2	10179	10181	10179
Thu Nov 21 21:57:05 2019	1574391425	2	10226	10228	10226
Thu Nov 21 21:57:05 2019	1574391425	2	10253	10256	10253
Thu Nov 21 21:57:05 2019	1574391425	2	10278	10280	10278
Thu Nov 21 21:57:05 2019	1574391425	2	10383	10385	10383
Thu Nov 21 21:57:05 2019	1574391425	2	10431	10434	10431
